//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 750 2,5dpa anneal.wip
GraphName = REFEL Si 750 2,5dpa--Spectrum--002--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 3143.30000002328
PositionY = 9653.70000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 750 2,5dpa--Spectrum--002--Spec.Data 1
 6.07481E+02	 1.60606E+03
 6.10231E+02	 1.60462E+03
 6.12980E+02	 1.60426E+03
 6.15728E+02	 1.59904E+03
 6.18475E+02	 1.59328E+03
 6.21221E+02	 1.59750E+03
 6.23967E+02	 1.59114E+03
 6.26711E+02	 1.59048E+03
 6.29454E+02	 1.58760E+03
 6.32197E+02	 1.58794E+03
 6.34939E+02	 1.58442E+03
 6.37680E+02	 1.58910E+03
 6.40419E+02	 1.58980E+03
 6.43158E+02	 1.58988E+03
 6.45896E+02	 1.59520E+03
 6.48634E+02	 1.59582E+03
 6.51370E+02	 1.59732E+03
 6.54105E+02	 1.60410E+03
 6.56840E+02	 1.61136E+03
 6.59573E+02	 1.61408E+03
 6.62306E+02	 1.61834E+03
 6.65037E+02	 1.61446E+03
 6.67768E+02	 1.61916E+03
 6.70498E+02	 1.60716E+03
 6.73227E+02	 1.60718E+03
 6.75955E+02	 1.59526E+03
 6.78682E+02	 1.59552E+03
 6.81409E+02	 1.59126E+03
 6.84134E+02	 1.59288E+03
 6.86858E+02	 1.59238E+03
 6.89582E+02	 1.58558E+03
 6.92305E+02	 1.59430E+03
 6.95026E+02	 1.59366E+03
 6.97747E+02	 1.59412E+03
 7.00467E+02	 1.59982E+03
 7.03186E+02	 1.59914E+03
 7.05905E+02	 1.60674E+03
 7.08622E+02	 1.61400E+03
 7.11338E+02	 1.61478E+03
 7.14054E+02	 1.61652E+03
 7.16768E+02	 1.62652E+03
 7.19482E+02	 1.62716E+03
 7.22195E+02	 1.63834E+03
 7.24907E+02	 1.64408E+03
 7.27618E+02	 1.64950E+03
 7.30328E+02	 1.65778E+03
 7.33037E+02	 1.66034E+03
 7.35745E+02	 1.66356E+03
 7.38453E+02	 1.66994E+03
 7.41159E+02	 1.67764E+03
 7.43865E+02	 1.68910E+03
 7.46569E+02	 1.68752E+03
 7.49273E+02	 1.70026E+03
 7.51976E+02	 1.70854E+03
 7.54678E+02	 1.70676E+03
 7.57379E+02	 1.72292E+03
 7.60080E+02	 1.72378E+03
 7.62779E+02	 1.72992E+03
 7.65478E+02	 1.73906E+03
 7.68175E+02	 1.74556E+03
 7.70872E+02	 1.74384E+03
 7.73568E+02	 1.74098E+03
 7.76263E+02	 1.73932E+03
 7.78957E+02	 1.74426E+03
 7.81650E+02	 1.74182E+03
 7.84342E+02	 1.74914E+03
 7.87034E+02	 1.75328E+03
 7.89724E+02	 1.76046E+03
 7.92414E+02	 1.75108E+03
 7.95103E+02	 1.74396E+03
 7.97791E+02	 1.72744E+03
 8.00478E+02	 1.71036E+03
 8.03164E+02	 1.69686E+03
 8.05849E+02	 1.68014E+03
 8.08533E+02	 1.67254E+03
 8.11217E+02	 1.66666E+03
 8.13899E+02	 1.65688E+03
 8.16581E+02	 1.65620E+03
 8.19262E+02	 1.65310E+03
 8.21942E+02	 1.65678E+03
 8.24621E+02	 1.65302E+03
 8.27299E+02	 1.65208E+03
 8.29977E+02	 1.65614E+03
 8.32653E+02	 1.66566E+03
 8.35329E+02	 1.66506E+03
 8.38003E+02	 1.66360E+03
 8.40677E+02	 1.66960E+03
 8.43350E+02	 1.67770E+03
 8.46022E+02	 1.66916E+03
 8.48693E+02	 1.67650E+03
 8.51364E+02	 1.67978E+03
 8.54033E+02	 1.68226E+03
 8.56702E+02	 1.68106E+03
 8.59370E+02	 1.68688E+03
 8.62036E+02	 1.69118E+03
 8.64702E+02	 1.68860E+03
 8.67367E+02	 1.69502E+03
 8.70032E+02	 1.69514E+03
 8.72695E+02	 1.69184E+03
 8.75358E+02	 1.69226E+03
 8.78019E+02	 1.69300E+03
 8.80680E+02	 1.69746E+03
 8.83340E+02	 1.69782E+03
 8.85999E+02	 1.69456E+03
 8.88657E+02	 1.69558E+03
 8.91314E+02	 1.69822E+03
 8.93971E+02	 1.70154E+03
 8.96626E+02	 1.69918E+03
 8.99281E+02	 1.70714E+03
 9.01935E+02	 1.70508E+03
