//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 750 2,5dpa anneal.wip
GraphName = REFEL Si 750 2,5dpa RT End No Window--Spectrum--030--Spec.Data 1 DAN
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 3972.40000002328
PositionY = 10071.2000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 750 2,5dpa RT End No Window--Spectrum--030--Spec.Data 1 DAN
 6.56840E+02	 1.74942E+03
 6.59573E+02	 1.75894E+03
 6.62306E+02	 1.76968E+03
 6.65037E+02	 1.77404E+03
 6.67768E+02	 1.77838E+03
 6.70498E+02	 1.77288E+03
 6.73227E+02	 1.76054E+03
 6.75955E+02	 1.74524E+03
 6.78682E+02	 1.74056E+03
 6.81409E+02	 1.74106E+03
 6.84134E+02	 1.73980E+03
 6.86858E+02	 1.73726E+03
 6.89582E+02	 1.73974E+03
 6.92305E+02	 1.74010E+03
 6.95026E+02	 1.74444E+03
 6.97747E+02	 1.74988E+03
 7.00467E+02	 1.75520E+03
 7.03186E+02	 1.76398E+03
 7.05905E+02	 1.76948E+03
 7.08622E+02	 1.77340E+03
 7.11338E+02	 1.78146E+03
 7.14054E+02	 1.79422E+03
 7.16768E+02	 1.80192E+03
 7.19482E+02	 1.79726E+03
 7.22195E+02	 1.81088E+03
 7.24907E+02	 1.82274E+03
 7.27618E+02	 1.82240E+03
 7.30328E+02	 1.82776E+03
 7.33037E+02	 1.83378E+03
 7.35745E+02	 1.84778E+03
 7.38453E+02	 1.84854E+03
 7.41159E+02	 1.85984E+03
 7.43865E+02	 1.85586E+03
 7.46569E+02	 1.86914E+03
 7.49273E+02	 1.88364E+03
 7.51976E+02	 1.89636E+03
 7.54678E+02	 1.89944E+03
 7.57379E+02	 1.90386E+03
 7.60080E+02	 1.92008E+03
 7.62779E+02	 1.92822E+03
 7.65478E+02	 1.93878E+03
 7.68175E+02	 1.94682E+03
 7.70872E+02	 1.95316E+03
 7.73568E+02	 1.95476E+03
 7.76263E+02	 1.96666E+03
 7.78957E+02	 1.99210E+03
 7.81650E+02	 2.04700E+03
 7.84342E+02	 2.18104E+03
 7.87034E+02	 2.36282E+03
 7.89724E+02	 2.44492E+03
 7.92414E+02	 2.34612E+03
 7.95103E+02	 2.21424E+03
 7.97791E+02	 2.12478E+03
 8.00478E+02	 2.05224E+03
 8.03164E+02	 1.98446E+03
 8.05849E+02	 1.91992E+03
 8.08533E+02	 1.88892E+03
 8.11217E+02	 1.87034E+03
 8.13899E+02	 1.85854E+03
 8.16581E+02	 1.83684E+03
 8.19262E+02	 1.82346E+03
 8.21942E+02	 1.81822E+03
 8.24621E+02	 1.82100E+03
 8.27299E+02	 1.82734E+03
 8.29977E+02	 1.83034E+03
 8.32653E+02	 1.82932E+03
 8.35329E+02	 1.84702E+03
 8.38003E+02	 1.84660E+03
 8.40677E+02	 1.85652E+03
 8.43350E+02	 1.85494E+03
 8.46022E+02	 1.86168E+03
 8.48693E+02	 1.86072E+03
 8.51364E+02	 1.86740E+03
 8.54033E+02	 1.86632E+03
 8.56702E+02	 1.86456E+03
 8.59370E+02	 1.86438E+03
 8.62036E+02	 1.86504E+03
 8.64702E+02	 1.87148E+03
 8.67367E+02	 1.87452E+03
 8.70032E+02	 1.87628E+03
 8.72695E+02	 1.87102E+03
 8.75358E+02	 1.86818E+03
 8.78019E+02	 1.86894E+03
 8.80680E+02	 1.86488E+03
 8.83340E+02	 1.86526E+03
 8.85999E+02	 1.87112E+03
 8.88657E+02	 1.86812E+03
 8.91314E+02	 1.86644E+03
 8.93971E+02	 1.86508E+03
 8.96626E+02	 1.86584E+03
 8.99281E+02	 1.86048E+03
 9.01935E+02	 1.86906E+03
 9.04588E+02	 1.86878E+03
 9.07240E+02	 1.87052E+03
 9.09891E+02	 1.86876E+03
 9.12541E+02	 1.87248E+03
 9.15191E+02	 1.87650E+03
 9.17840E+02	 1.87580E+03
 9.20487E+02	 1.88626E+03
 9.23134E+02	 1.88942E+03
 9.25780E+02	 1.89222E+03
 9.28426E+02	 1.89370E+03
 9.31070E+02	 1.90908E+03
 9.33714E+02	 1.90868E+03
 9.36356E+02	 1.90956E+03
 9.38998E+02	 1.91846E+03
 9.41639E+02	 1.91952E+03
 9.44279E+02	 1.93122E+03
 9.46918E+02	 1.93560E+03
 9.49557E+02	 1.93760E+03
 9.52194E+02	 1.94838E+03
 9.54831E+02	 1.94162E+03
 9.57466E+02	 1.94176E+03
 9.60101E+02	 1.93064E+03
 9.62735E+02	 1.90996E+03
 9.65369E+02	 1.90762E+03
 9.68001E+02	 1.93632E+03
 9.70633E+02	 1.96736E+03
 9.73263E+02	 1.93334E+03
 9.75893E+02	 1.84162E+03
 9.78522E+02	 1.77500E+03
 9.81150E+02	 1.74230E+03
 9.83777E+02	 1.72168E+03
 9.86404E+02	 1.71694E+03
 9.89029E+02	 1.70294E+03
 9.91654E+02	 1.70346E+03
 9.94278E+02	 1.70330E+03
 9.96901E+02	 1.69844E+03
 9.99523E+02	 1.70530E+03
 1.00214E+03	 1.69772E+03
 1.00477E+03	 1.70004E+03
 1.00738E+03	 1.69982E+03
 1.01000E+03	 1.70648E+03
 1.01262E+03	 1.69660E+03
 1.01524E+03	 1.69478E+03
 1.01785E+03	 1.70008E+03
 1.02047E+03	 1.69746E+03
 1.02308E+03	 1.69666E+03
 1.02570E+03	 1.69832E+03
 1.02831E+03	 1.70080E+03
 1.03092E+03	 1.69858E+03
 1.03353E+03	 1.70932E+03
 1.03614E+03	 1.70898E+03
 1.03875E+03	 1.70900E+03
 1.04136E+03	 1.70776E+03
 1.04397E+03	 1.71152E+03
 1.04658E+03	 1.70970E+03
 1.04918E+03	 1.71140E+03
 1.05179E+03	 1.71236E+03
 1.05439E+03	 1.70804E+03
 1.05700E+03	 1.71002E+03
 1.05960E+03	 1.70596E+03
 1.06220E+03	 1.71046E+03
 1.06480E+03	 1.70306E+03
 1.06740E+03	 1.70312E+03
 1.07000E+03	 1.69780E+03
 1.07260E+03	 1.69612E+03
 1.07520E+03	 1.70184E+03
 1.07780E+03	 1.70176E+03
 1.08039E+03	 1.69766E+03
 1.08299E+03	 1.69962E+03
 1.08558E+03	 1.69170E+03
 1.08818E+03	 1.70348E+03
 1.09077E+03	 1.70146E+03
 1.09336E+03	 1.69050E+03
 1.09595E+03	 1.70092E+03
 1.09854E+03	 1.69372E+03
 1.10113E+03	 1.69776E+03
 1.10372E+03	 1.69204E+03
 1.10631E+03	 1.69922E+03
 1.10890E+03	 1.69718E+03
 1.11148E+03	 1.69634E+03
 1.11407E+03	 1.69544E+03
 1.11665E+03	 1.69434E+03
 1.11924E+03	 1.70026E+03
 1.12182E+03	 1.69572E+03
 1.12440E+03	 1.69536E+03
 1.12698E+03	 1.69536E+03
 1.12956E+03	 1.69530E+03
 1.13214E+03	 1.70134E+03
 1.13472E+03	 1.69464E+03
 1.13730E+03	 1.69496E+03
 1.13987E+03	 1.69522E+03
 1.14245E+03	 1.69618E+03
 1.14503E+03	 1.69872E+03
 1.14760E+03	 1.69852E+03
 1.15017E+03	 1.69770E+03
 1.15275E+03	 1.69194E+03
 1.15532E+03	 1.69518E+03
 1.15789E+03	 1.69204E+03
 1.16046E+03	 1.69138E+03
 1.16303E+03	 1.68854E+03
 1.16560E+03	 1.68400E+03
 1.16817E+03	 1.68894E+03
 1.17074E+03	 1.68456E+03
 1.17330E+03	 1.68060E+03
 1.17587E+03	 1.68564E+03
 1.17843E+03	 1.68838E+03
 1.18100E+03	 1.68396E+03
 1.18356E+03	 1.69036E+03
 1.18612E+03	 1.68524E+03
 1.18868E+03	 1.68310E+03
 1.19124E+03	 1.68822E+03
 1.19380E+03	 1.68716E+03
 1.19636E+03	 1.67468E+03
 1.19892E+03	 1.68758E+03
 1.20148E+03	 1.68276E+03
 1.20404E+03	 1.68744E+03
 1.20659E+03	 1.68056E+03
 1.20915E+03	 1.68780E+03
 1.21170E+03	 1.68722E+03
 1.21425E+03	 1.68744E+03
 1.21681E+03	 1.68686E+03
 1.21936E+03	 1.68618E+03
 1.22191E+03	 1.68518E+03
 1.22446E+03	 1.68368E+03
 1.22701E+03	 1.68632E+03
 1.22956E+03	 1.68804E+03
 1.23210E+03	 1.68512E+03
 1.23465E+03	 1.68314E+03
 1.23720E+03	 1.68322E+03
 1.23974E+03	 1.67990E+03
 1.24229E+03	 1.68098E+03
 1.24483E+03	 1.67950E+03
 1.24737E+03	 1.68202E+03
 1.24992E+03	 1.68216E+03
 1.25246E+03	 1.67642E+03
 1.25500E+03	 1.68176E+03
 1.25754E+03	 1.67886E+03
 1.26008E+03	 1.67712E+03
 1.26261E+03	 1.67934E+03
 1.26515E+03	 1.67452E+03
 1.26769E+03	 1.68146E+03
 1.27022E+03	 1.68074E+03
 1.27276E+03	 1.68126E+03
 1.27529E+03	 1.68218E+03
 1.27783E+03	 1.68064E+03
 1.28036E+03	 1.67580E+03
 1.28289E+03	 1.66938E+03
 1.28542E+03	 1.67542E+03
 1.28795E+03	 1.67688E+03
 1.29048E+03	 1.67414E+03
 1.29301E+03	 1.67748E+03
 1.29554E+03	 1.67400E+03
 1.29806E+03	 1.67030E+03
 1.30059E+03	 1.67494E+03
 1.30311E+03	 1.67264E+03
 1.30564E+03	 1.67612E+03
 1.30816E+03	 1.67194E+03
 1.31069E+03	 1.67360E+03
 1.31321E+03	 1.67320E+03
 1.31573E+03	 1.67488E+03
 1.31825E+03	 1.67892E+03
 1.32077E+03	 1.67666E+03
 1.32329E+03	 1.67138E+03
 1.32581E+03	 1.67828E+03
 1.32832E+03	 1.67964E+03
 1.33084E+03	 1.68096E+03
 1.33336E+03	 1.67702E+03
 1.33587E+03	 1.67538E+03
 1.33838E+03	 1.68070E+03
 1.34090E+03	 1.67230E+03
 1.34341E+03	 1.67616E+03
 1.34592E+03	 1.68000E+03
 1.34843E+03	 1.67876E+03
 1.35094E+03	 1.68046E+03
 1.35345E+03	 1.67978E+03
 1.35596E+03	 1.67586E+03
 1.35847E+03	 1.67666E+03
 1.36098E+03	 1.67422E+03
 1.36348E+03	 1.68148E+03
 1.36599E+03	 1.67528E+03
 1.36849E+03	 1.67918E+03
 1.37100E+03	 1.67928E+03
 1.37350E+03	 1.67606E+03
 1.37600E+03	 1.67626E+03
 1.37850E+03	 1.67892E+03
 1.38100E+03	 1.67770E+03
 1.38350E+03	 1.67602E+03
 1.38600E+03	 1.67404E+03
 1.38850E+03	 1.67294E+03
 1.39100E+03	 1.66474E+03
 1.39350E+03	 1.66988E+03
 1.39599E+03	 1.67032E+03
 1.39849E+03	 1.66678E+03
 1.40098E+03	 1.66718E+03
 1.40348E+03	 1.66754E+03
 1.40597E+03	 1.67412E+03
 1.40846E+03	 1.66632E+03
 1.41095E+03	 1.66652E+03
 1.41344E+03	 1.66736E+03
 1.41593E+03	 1.67214E+03
 1.41842E+03	 1.66632E+03
 1.42091E+03	 1.65938E+03
 1.42340E+03	 1.66238E+03
 1.42588E+03	 1.65834E+03
 1.42837E+03	 1.65488E+03
