//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 750 2,5dpa anneal.wip
GraphName = REFEL Si 750 2,5dpa RT End No Window--Spectrum--029--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 3511.70000002328
PositionY = 9787.40000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 750 2,5dpa RT End No Window--Spectrum--029--Spec.Data 1
 9.07240E+02	 3.34834E+03
 9.09891E+02	 3.36394E+03
 9.12541E+02	 3.37116E+03
 9.15191E+02	 3.37880E+03
 9.17840E+02	 3.40262E+03
 9.20487E+02	 3.40358E+03
 9.23134E+02	 3.41712E+03
 9.25780E+02	 3.42856E+03
 9.28426E+02	 3.45712E+03
 9.31070E+02	 3.46932E+03
 9.33714E+02	 3.48088E+03
 9.36356E+02	 3.51020E+03
 9.38998E+02	 3.53052E+03
 9.41639E+02	 3.54714E+03
 9.44279E+02	 3.58654E+03
 9.46918E+02	 3.59882E+03
 9.49557E+02	 3.60820E+03
 9.52194E+02	 3.60458E+03
 9.54831E+02	 3.55900E+03
 9.57466E+02	 3.48492E+03
 9.60101E+02	 3.37646E+03
 9.62735E+02	 3.29618E+03
 9.65369E+02	 3.24390E+03
 9.68001E+02	 3.18698E+03
 9.70633E+02	 3.08744E+03
 9.73263E+02	 3.01960E+03
 9.75893E+02	 2.95040E+03
 9.78522E+02	 2.92366E+03
 9.81150E+02	 2.90658E+03
 9.83777E+02	 2.87680E+03
 9.86404E+02	 2.87480E+03
 9.89029E+02	 2.85386E+03
 9.91654E+02	 2.86524E+03
 9.94278E+02	 2.85484E+03
 9.96901E+02	 2.82444E+03
 9.99523E+02	 2.82866E+03
 1.00214E+03	 2.82574E+03
 1.00477E+03	 2.81438E+03
 1.00738E+03	 2.81372E+03
 1.01000E+03	 2.82550E+03
 1.01262E+03	 2.80398E+03
 1.01524E+03	 2.82076E+03
 1.01785E+03	 2.81848E+03
 1.02047E+03	 2.80824E+03
 1.02308E+03	 2.80848E+03
 1.02570E+03	 2.79516E+03
 1.02831E+03	 2.81886E+03
 1.03092E+03	 2.80056E+03
 1.03353E+03	 2.81824E+03
 1.03614E+03	 2.81816E+03
 1.03875E+03	 2.81720E+03
 1.04136E+03	 2.81210E+03
 1.04397E+03	 2.81824E+03
 1.04658E+03	 2.83098E+03
 1.04918E+03	 2.81972E+03
 1.05179E+03	 2.82230E+03
 1.05439E+03	 2.82150E+03
 1.05700E+03	 2.83298E+03
 1.05960E+03	 2.80810E+03
 1.06220E+03	 2.80674E+03
 1.06480E+03	 2.80768E+03
 1.06740E+03	 2.80670E+03
 1.07000E+03	 2.80734E+03
 1.07260E+03	 2.80046E+03
 1.07520E+03	 2.80464E+03
 1.07780E+03	 2.80074E+03
 1.08039E+03	 2.79766E+03
 1.08299E+03	 2.80664E+03
 1.08558E+03	 2.81482E+03
 1.08818E+03	 2.80430E+03
 1.09077E+03	 2.80866E+03
 1.09336E+03	 2.80192E+03
 1.09595E+03	 2.80870E+03
 1.09854E+03	 2.79104E+03
 1.10113E+03	 2.79886E+03
 1.10372E+03	 2.79244E+03
 1.10631E+03	 2.80182E+03
 1.10890E+03	 2.79618E+03
 1.11148E+03	 2.80686E+03
 1.11407E+03	 2.80928E+03
 1.11665E+03	 2.80332E+03
 1.11924E+03	 2.81116E+03
 1.12182E+03	 2.81128E+03
 1.12440E+03	 2.81432E+03
 1.12698E+03	 2.81038E+03
 1.12956E+03	 2.81072E+03
 1.13214E+03	 2.81140E+03
 1.13472E+03	 2.81348E+03
 1.13730E+03	 2.81110E+03
 1.13987E+03	 2.80520E+03
 1.14245E+03	 2.81004E+03
 1.14503E+03	 2.82334E+03
 1.14760E+03	 2.79928E+03
 1.15017E+03	 2.80578E+03
 1.15275E+03	 2.80320E+03
 1.15532E+03	 2.79602E+03
 1.15789E+03	 2.79852E+03
 1.16046E+03	 2.78466E+03
 1.16303E+03	 2.79086E+03
 1.16560E+03	 2.79406E+03
 1.16817E+03	 2.78908E+03
 1.17074E+03	 2.78292E+03
 1.17330E+03	 2.78294E+03
 1.17587E+03	 2.77392E+03
 1.17843E+03	 2.77312E+03
 1.18100E+03	 2.76606E+03
 1.18356E+03	 2.77338E+03
 1.18612E+03	 2.78222E+03
 1.18868E+03	 2.76392E+03
 1.19124E+03	 2.76524E+03
 1.19380E+03	 2.75682E+03
 1.19636E+03	 2.75824E+03
 1.19892E+03	 2.77070E+03
 1.20148E+03	 2.77568E+03
 1.20404E+03	 2.77080E+03
 1.20659E+03	 2.77114E+03
 1.20915E+03	 2.77274E+03
 1.21170E+03	 2.77400E+03
 1.21425E+03	 2.77170E+03
 1.21681E+03	 2.76862E+03
 1.21936E+03	 2.77320E+03
 1.22191E+03	 2.76134E+03
 1.22446E+03	 2.76712E+03
 1.22701E+03	 2.77070E+03
 1.22956E+03	 2.76858E+03
 1.23210E+03	 2.75696E+03
 1.23465E+03	 2.76340E+03
 1.23720E+03	 2.75970E+03
 1.23974E+03	 2.75372E+03
 1.24229E+03	 2.74816E+03
 1.24483E+03	 2.76708E+03
 1.24737E+03	 2.75792E+03
 1.24992E+03	 2.75496E+03
 1.25246E+03	 2.74982E+03
 1.25500E+03	 2.73850E+03
 1.25754E+03	 2.75628E+03
 1.26008E+03	 2.74478E+03
 1.26261E+03	 2.75064E+03
 1.26515E+03	 2.75224E+03
 1.26769E+03	 2.74464E+03
 1.27022E+03	 2.74492E+03
 1.27276E+03	 2.74740E+03
 1.27529E+03	 2.74322E+03
 1.27783E+03	 2.73456E+03
 1.28036E+03	 2.74568E+03
 1.28289E+03	 2.73214E+03
 1.28542E+03	 2.73718E+03
 1.28795E+03	 2.73726E+03
 1.29048E+03	 2.73976E+03
 1.29301E+03	 2.74738E+03
 1.29554E+03	 2.73820E+03
 1.29806E+03	 2.73872E+03
 1.30059E+03	 2.74558E+03
 1.30311E+03	 2.74434E+03
 1.30564E+03	 2.72692E+03
 1.30816E+03	 2.72660E+03
 1.31069E+03	 2.74114E+03
 1.31321E+03	 2.73954E+03
 1.31573E+03	 2.75420E+03
 1.31825E+03	 2.76020E+03
 1.32077E+03	 2.75124E+03
 1.32329E+03	 2.74380E+03
 1.32581E+03	 2.75064E+03
 1.32832E+03	 2.75216E+03
 1.33084E+03	 2.75278E+03
 1.33336E+03	 2.74072E+03
 1.33587E+03	 2.74582E+03
 1.33838E+03	 2.75130E+03
 1.34090E+03	 2.75236E+03
 1.34341E+03	 2.75092E+03
 1.34592E+03	 2.74724E+03
 1.34843E+03	 2.75736E+03
 1.35094E+03	 2.74960E+03
 1.35345E+03	 2.75760E+03
 1.35596E+03	 2.74544E+03
 1.35847E+03	 2.75586E+03
 1.36098E+03	 2.75806E+03
 1.36348E+03	 2.74474E+03
 1.36599E+03	 2.75666E+03
 1.36849E+03	 2.75232E+03
 1.37100E+03	 2.75326E+03
 1.37350E+03	 2.74140E+03
 1.37600E+03	 2.75364E+03
 1.37850E+03	 2.74572E+03
 1.38100E+03	 2.74972E+03
 1.38350E+03	 2.74160E+03
 1.38600E+03	 2.74346E+03
 1.38850E+03	 2.72896E+03
 1.39100E+03	 2.72984E+03
 1.39350E+03	 2.72330E+03
 1.39599E+03	 2.72364E+03
 1.39849E+03	 2.72010E+03
 1.40098E+03	 2.72736E+03
 1.40348E+03	 2.71260E+03
 1.40597E+03	 2.71878E+03
 1.40846E+03	 2.70392E+03
 1.41095E+03	 2.71312E+03
 1.41344E+03	 2.71332E+03
 1.41593E+03	 2.71692E+03
 1.41842E+03	 2.71648E+03
 1.42091E+03	 2.70212E+03
 1.42340E+03	 2.71212E+03
