//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1200 s--Spectrum--036--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5713.80000002328
PositionY = 10044.0000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1200 s--Spectrum--036--Spec.Data 1
 7.11338E+02	 1.46874E+03
 7.14054E+02	 1.47060E+03
 7.16768E+02	 1.47462E+03
 7.19482E+02	 1.47164E+03
 7.22195E+02	 1.47544E+03
 7.24907E+02	 1.47066E+03
 7.27618E+02	 1.47616E+03
 7.30328E+02	 1.47610E+03
 7.33037E+02	 1.47788E+03
 7.35745E+02	 1.48022E+03
 7.38453E+02	 1.47676E+03
 7.41159E+02	 1.48160E+03
 7.43865E+02	 1.48398E+03
 7.46569E+02	 1.48244E+03
 7.49273E+02	 1.48814E+03
 7.51976E+02	 1.48652E+03
 7.54678E+02	 1.48696E+03
 7.57379E+02	 1.48900E+03
 7.60080E+02	 1.48812E+03
 7.62779E+02	 1.49042E+03
 7.65478E+02	 1.48874E+03
 7.68175E+02	 1.48802E+03
 7.70872E+02	 1.48908E+03
 7.73568E+02	 1.48390E+03
 7.76263E+02	 1.48346E+03
 7.78957E+02	 1.47634E+03
 7.81650E+02	 1.48058E+03
 7.84342E+02	 1.47548E+03
 7.87034E+02	 1.47728E+03
 7.89724E+02	 1.47146E+03
 7.92414E+02	 1.47626E+03
 7.95103E+02	 1.47652E+03
 7.97791E+02	 1.47012E+03
 8.00478E+02	 1.46972E+03
 8.03164E+02	 1.47064E+03
 8.05849E+02	 1.47312E+03
 8.08533E+02	 1.46866E+03
 8.11217E+02	 1.47326E+03
 8.13899E+02	 1.47174E+03
 8.16581E+02	 1.47312E+03
 8.19262E+02	 1.47430E+03
 8.21942E+02	 1.47726E+03
 8.24621E+02	 1.47358E+03
 8.27299E+02	 1.47492E+03
 8.29977E+02	 1.47310E+03
 8.32653E+02	 1.47386E+03
 8.35329E+02	 1.47366E+03
 8.38003E+02	 1.47500E+03
 8.40677E+02	 1.47532E+03
 8.43350E+02	 1.47324E+03
 8.46022E+02	 1.47918E+03
 8.48693E+02	 1.47520E+03
 8.51364E+02	 1.47774E+03
 8.54033E+02	 1.47458E+03
 8.56702E+02	 1.47574E+03
 8.59370E+02	 1.47966E+03
 8.62036E+02	 1.47608E+03
 8.64702E+02	 1.47736E+03
 8.67367E+02	 1.48160E+03
 8.70032E+02	 1.48168E+03
 8.72695E+02	 1.48286E+03
 8.75358E+02	 1.48126E+03
 8.78019E+02	 1.48106E+03
 8.80680E+02	 1.48226E+03
 8.83340E+02	 1.47954E+03
 8.85999E+02	 1.48054E+03
 8.88657E+02	 1.48280E+03
 8.91314E+02	 1.48440E+03
 8.93971E+02	 1.47976E+03
 8.96626E+02	 1.48686E+03
 8.99281E+02	 1.48602E+03
 9.01935E+02	 1.48334E+03
 9.04588E+02	 1.48426E+03
 9.07240E+02	 1.48464E+03
 9.09891E+02	 1.48878E+03
 9.12541E+02	 1.48662E+03
 9.15191E+02	 1.48518E+03
 9.17840E+02	 1.48822E+03
 9.20487E+02	 1.48426E+03
 9.23134E+02	 1.48614E+03
 9.25780E+02	 1.48742E+03
 9.28426E+02	 1.48330E+03
 9.31070E+02	 1.48308E+03
 9.33714E+02	 1.48178E+03
 9.36356E+02	 1.48190E+03
 9.38998E+02	 1.48404E+03
 9.41639E+02	 1.47642E+03
 9.44279E+02	 1.47676E+03
 9.46918E+02	 1.47800E+03
 9.49557E+02	 1.47792E+03
 9.52194E+02	 1.47294E+03
 9.54831E+02	 1.47518E+03
 9.57466E+02	 1.47346E+03
 9.60101E+02	 1.47272E+03
 9.62735E+02	 1.47152E+03
 9.65369E+02	 1.47370E+03
 9.68001E+02	 1.47160E+03
 9.70633E+02	 1.47098E+03
 9.73263E+02	 1.47630E+03
 9.75893E+02	 1.47016E+03
 9.78522E+02	 1.47212E+03
 9.81150E+02	 1.47416E+03
 9.83777E+02	 1.47516E+03
 9.86404E+02	 1.47352E+03
 9.89029E+02	 1.47508E+03
 9.91654E+02	 1.47558E+03
 9.94278E+02	 1.47532E+03
 9.96901E+02	 1.47214E+03
 9.99523E+02	 1.47224E+03
 1.00214E+03	 1.47228E+03
 1.00477E+03	 1.47688E+03
 1.00738E+03	 1.47902E+03
 1.01000E+03	 1.47470E+03
 1.01262E+03	 1.47500E+03
 1.01524E+03	 1.47144E+03
 1.01785E+03	 1.47464E+03
 1.02047E+03	 1.47624E+03
 1.02308E+03	 1.47582E+03
 1.02570E+03	 1.47678E+03
 1.02831E+03	 1.47086E+03
 1.03092E+03	 1.47518E+03
 1.03353E+03	 1.47886E+03
 1.03614E+03	 1.47856E+03
 1.03875E+03	 1.47344E+03
 1.04136E+03	 1.47994E+03
 1.04397E+03	 1.47778E+03
 1.04658E+03	 1.47604E+03
 1.04918E+03	 1.47924E+03
 1.05179E+03	 1.47728E+03
 1.05439E+03	 1.47610E+03
 1.05700E+03	 1.47896E+03
 1.05960E+03	 1.47906E+03
 1.06220E+03	 1.47570E+03
 1.06480E+03	 1.47810E+03
 1.06740E+03	 1.47688E+03
 1.07000E+03	 1.48068E+03
 1.07260E+03	 1.47682E+03
 1.07520E+03	 1.47682E+03
 1.07780E+03	 1.47900E+03
 1.08039E+03	 1.47832E+03
 1.08299E+03	 1.48346E+03
 1.08558E+03	 1.47896E+03
 1.08818E+03	 1.47844E+03
 1.09077E+03	 1.47846E+03
 1.09336E+03	 1.47896E+03
 1.09595E+03	 1.48144E+03
 1.09854E+03	 1.48086E+03
 1.10113E+03	 1.47962E+03
 1.10372E+03	 1.47960E+03
 1.10631E+03	 1.47808E+03
 1.10890E+03	 1.48068E+03
 1.11148E+03	 1.48036E+03
 1.11407E+03	 1.48354E+03
 1.11665E+03	 1.48292E+03
 1.11924E+03	 1.48166E+03
 1.12182E+03	 1.48352E+03
 1.12440E+03	 1.48424E+03
 1.12698E+03	 1.48188E+03
 1.12956E+03	 1.48664E+03
 1.13214E+03	 1.48384E+03
 1.13472E+03	 1.48474E+03
 1.13730E+03	 1.48532E+03
 1.13987E+03	 1.48248E+03
 1.14245E+03	 1.48488E+03
 1.14503E+03	 1.48482E+03
 1.14760E+03	 1.48312E+03
 1.15017E+03	 1.48432E+03
 1.15275E+03	 1.48768E+03
 1.15532E+03	 1.48618E+03
 1.15789E+03	 1.48674E+03
 1.16046E+03	 1.48762E+03
 1.16303E+03	 1.48432E+03
 1.16560E+03	 1.48616E+03
 1.16817E+03	 1.48862E+03
 1.17074E+03	 1.48856E+03
 1.17330E+03	 1.48632E+03
 1.17587E+03	 1.48620E+03
 1.17843E+03	 1.48756E+03
 1.18100E+03	 1.48724E+03
 1.18356E+03	 1.48828E+03
 1.18612E+03	 1.48692E+03
 1.18868E+03	 1.48872E+03
 1.19124E+03	 1.48790E+03
 1.19380E+03	 1.49062E+03
 1.19636E+03	 1.48850E+03
 1.19892E+03	 1.49294E+03
 1.20148E+03	 1.48824E+03
 1.20404E+03	 1.48918E+03
 1.20659E+03	 1.48792E+03
 1.20915E+03	 1.49114E+03
 1.21170E+03	 1.48920E+03
 1.21425E+03	 1.48706E+03
 1.21681E+03	 1.48812E+03
 1.21936E+03	 1.49060E+03
 1.22191E+03	 1.49190E+03
 1.22446E+03	 1.49502E+03
 1.22701E+03	 1.49042E+03
 1.22956E+03	 1.49080E+03
 1.23210E+03	 1.49160E+03
 1.23465E+03	 1.49268E+03
 1.23720E+03	 1.49382E+03
 1.23974E+03	 1.49258E+03
 1.24229E+03	 1.49750E+03
 1.24483E+03	 1.49154E+03
 1.24737E+03	 1.49066E+03
 1.24992E+03	 1.49422E+03
 1.25246E+03	 1.49280E+03
 1.25500E+03	 1.49240E+03
 1.25754E+03	 1.49276E+03
 1.26008E+03	 1.49420E+03
 1.26261E+03	 1.49146E+03
 1.26515E+03	 1.49610E+03
 1.26769E+03	 1.49094E+03
 1.27022E+03	 1.49334E+03
 1.27276E+03	 1.49078E+03
 1.27529E+03	 1.49200E+03
 1.27783E+03	 1.49094E+03
 1.28036E+03	 1.49174E+03
 1.28289E+03	 1.49204E+03
 1.28542E+03	 1.49666E+03
 1.28795E+03	 1.49580E+03
 1.29048E+03	 1.49212E+03
 1.29301E+03	 1.49286E+03
 1.29554E+03	 1.49364E+03
 1.29806E+03	 1.49578E+03
 1.30059E+03	 1.49120E+03
 1.30311E+03	 1.49658E+03
 1.30564E+03	 1.49236E+03
 1.30816E+03	 1.49766E+03
 1.31069E+03	 1.49436E+03
 1.31321E+03	 1.49456E+03
 1.31573E+03	 1.49566E+03
 1.31825E+03	 1.49968E+03
 1.32077E+03	 1.50092E+03
 1.32329E+03	 1.49706E+03
 1.32581E+03	 1.49762E+03
 1.32832E+03	 1.49942E+03
 1.33084E+03	 1.49900E+03
 1.33336E+03	 1.49728E+03
 1.33587E+03	 1.50230E+03
 1.33838E+03	 1.50062E+03
 1.34090E+03	 1.50376E+03
 1.34341E+03	 1.50218E+03
 1.34592E+03	 1.49974E+03
 1.34843E+03	 1.50652E+03
 1.35094E+03	 1.50234E+03
 1.35345E+03	 1.50110E+03
 1.35596E+03	 1.50254E+03
 1.35847E+03	 1.50300E+03
 1.36098E+03	 1.50156E+03
 1.36348E+03	 1.50572E+03
 1.36599E+03	 1.50232E+03
 1.36849E+03	 1.50358E+03
 1.37100E+03	 1.50350E+03
 1.37350E+03	 1.50182E+03
 1.37600E+03	 1.50434E+03
 1.37850E+03	 1.50270E+03
 1.38100E+03	 1.50256E+03
 1.38350E+03	 1.50150E+03
 1.38600E+03	 1.50342E+03
 1.38850E+03	 1.50604E+03
 1.39100E+03	 1.50532E+03
 1.39350E+03	 1.50848E+03
 1.39599E+03	 1.50300E+03
 1.39849E+03	 1.50016E+03
 1.40098E+03	 1.50072E+03
 1.40348E+03	 1.50580E+03
 1.40597E+03	 1.50610E+03
 1.40846E+03	 1.50392E+03
 1.41095E+03	 1.50656E+03
 1.41344E+03	 1.50120E+03
 1.41593E+03	 1.50600E+03
 1.41842E+03	 1.50816E+03
 1.42091E+03	 1.50576E+03
 1.42340E+03	 1.51102E+03
 1.42588E+03	 1.50676E+03
 1.42837E+03	 1.50844E+03
 1.43086E+03	 1.50758E+03
 1.43334E+03	 1.50654E+03
 1.43582E+03	 1.51336E+03
 1.43831E+03	 1.51306E+03
 1.44079E+03	 1.51396E+03
 1.44327E+03	 1.51018E+03
 1.44575E+03	 1.50978E+03
 1.44823E+03	 1.50796E+03
 1.45071E+03	 1.50948E+03
 1.45319E+03	 1.50958E+03
 1.45566E+03	 1.50986E+03
 1.45814E+03	 1.50956E+03
 1.46062E+03	 1.51160E+03
 1.46309E+03	 1.51044E+03
 1.46557E+03	 1.51114E+03
 1.46804E+03	 1.50990E+03
 1.47051E+03	 1.51154E+03
 1.47298E+03	 1.51030E+03
 1.47546E+03	 1.51226E+03
 1.47793E+03	 1.51066E+03
 1.48040E+03	 1.50952E+03
 1.48286E+03	 1.50908E+03
 1.48533E+03	 1.51294E+03
 1.48780E+03	 1.50768E+03
 1.49027E+03	 1.50838E+03
 1.49273E+03	 1.51096E+03
 1.49520E+03	 1.51038E+03
 1.49766E+03	 1.51154E+03
 1.50013E+03	 1.51028E+03
 1.50259E+03	 1.51242E+03
 1.50505E+03	 1.51376E+03
 1.50751E+03	 1.51100E+03
 1.50997E+03	 1.51150E+03
 1.51243E+03	 1.51274E+03
 1.51489E+03	 1.51496E+03
 1.51735E+03	 1.51810E+03
 1.51981E+03	 1.51594E+03
 1.52226E+03	 1.51490E+03
 1.52472E+03	 1.51862E+03
