//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1200  5mins--Spectrum--037--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5713.80000002328
PositionY = 10044.0000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1200  5mins--Spectrum--037--Spec.Data 1
 7.14054E+02	 1.47574E+03
 7.16768E+02	 1.47396E+03
 7.19482E+02	 1.47670E+03
 7.22195E+02	 1.47366E+03
 7.24907E+02	 1.47634E+03
 7.27618E+02	 1.47536E+03
 7.30328E+02	 1.47444E+03
 7.33037E+02	 1.47832E+03
 7.35745E+02	 1.48018E+03
 7.38453E+02	 1.48396E+03
 7.41159E+02	 1.48300E+03
 7.43865E+02	 1.48300E+03
 7.46569E+02	 1.48732E+03
 7.49273E+02	 1.48806E+03
 7.51976E+02	 1.49508E+03
 7.54678E+02	 1.49262E+03
 7.57379E+02	 1.48876E+03
 7.60080E+02	 1.49182E+03
 7.62779E+02	 1.49092E+03
 7.65478E+02	 1.49606E+03
 7.68175E+02	 1.49218E+03
 7.70872E+02	 1.48746E+03
 7.73568E+02	 1.48752E+03
 7.76263E+02	 1.48404E+03
 7.78957E+02	 1.48686E+03
 7.81650E+02	 1.47974E+03
 7.84342E+02	 1.47558E+03
 7.87034E+02	 1.47518E+03
 7.89724E+02	 1.47246E+03
 7.92414E+02	 1.47486E+03
 7.95103E+02	 1.47402E+03
 7.97791E+02	 1.47492E+03
 8.00478E+02	 1.46908E+03
 8.03164E+02	 1.47292E+03
 8.05849E+02	 1.46734E+03
 8.08533E+02	 1.46986E+03
 8.11217E+02	 1.47144E+03
 8.13899E+02	 1.47026E+03
 8.16581E+02	 1.47526E+03
 8.19262E+02	 1.47176E+03
 8.21942E+02	 1.47290E+03
 8.24621E+02	 1.47662E+03
 8.27299E+02	 1.47350E+03
 8.29977E+02	 1.47644E+03
 8.32653E+02	 1.47662E+03
 8.35329E+02	 1.47668E+03
 8.38003E+02	 1.47190E+03
 8.40677E+02	 1.47286E+03
 8.43350E+02	 1.47782E+03
 8.46022E+02	 1.47596E+03
 8.48693E+02	 1.47792E+03
 8.51364E+02	 1.47802E+03
 8.54033E+02	 1.47706E+03
 8.56702E+02	 1.47732E+03
 8.59370E+02	 1.47578E+03
 8.62036E+02	 1.47538E+03
 8.64702E+02	 1.48082E+03
 8.67367E+02	 1.48450E+03
 8.70032E+02	 1.48130E+03
 8.72695E+02	 1.48198E+03
 8.75358E+02	 1.48110E+03
 8.78019E+02	 1.48040E+03
 8.80680E+02	 1.48132E+03
 8.83340E+02	 1.48102E+03
 8.85999E+02	 1.48384E+03
 8.88657E+02	 1.48252E+03
 8.91314E+02	 1.48582E+03
 8.93971E+02	 1.48628E+03
 8.96626E+02	 1.48844E+03
 8.99281E+02	 1.48568E+03
 9.01935E+02	 1.48926E+03
 9.04588E+02	 1.48504E+03
 9.07240E+02	 1.48762E+03
 9.09891E+02	 1.48784E+03
 9.12541E+02	 1.48776E+03
 9.15191E+02	 1.48404E+03
 9.17840E+02	 1.48682E+03
 9.20487E+02	 1.48836E+03
 9.23134E+02	 1.48862E+03
 9.25780E+02	 1.48380E+03
 9.28426E+02	 1.48366E+03
 9.31070E+02	 1.48584E+03
 9.33714E+02	 1.47754E+03
 9.36356E+02	 1.47838E+03
 9.38998E+02	 1.47518E+03
 9.41639E+02	 1.47354E+03
 9.44279E+02	 1.47714E+03
 9.46918E+02	 1.47394E+03
 9.49557E+02	 1.47322E+03
 9.52194E+02	 1.47162E+03
 9.54831E+02	 1.47324E+03
 9.57466E+02	 1.47188E+03
 9.60101E+02	 1.47398E+03
 9.62735E+02	 1.47398E+03
 9.65369E+02	 1.47326E+03
 9.68001E+02	 1.47022E+03
 9.70633E+02	 1.46918E+03
 9.73263E+02	 1.47188E+03
 9.75893E+02	 1.46714E+03
 9.78522E+02	 1.47060E+03
 9.81150E+02	 1.47144E+03
 9.83777E+02	 1.47068E+03
 9.86404E+02	 1.47000E+03
 9.89029E+02	 1.47132E+03
 9.91654E+02	 1.46828E+03
 9.94278E+02	 1.47136E+03
 9.96901E+02	 1.46716E+03
 9.99523E+02	 1.46760E+03
 1.00214E+03	 1.47032E+03
 1.00477E+03	 1.47114E+03
 1.00738E+03	 1.47408E+03
 1.01000E+03	 1.47400E+03
 1.01262E+03	 1.47090E+03
 1.01524E+03	 1.47186E+03
 1.01785E+03	 1.47164E+03
 1.02047E+03	 1.47442E+03
 1.02308E+03	 1.47138E+03
 1.02570E+03	 1.46982E+03
 1.02831E+03	 1.47224E+03
 1.03092E+03	 1.47354E+03
 1.03353E+03	 1.47298E+03
 1.03614E+03	 1.47268E+03
 1.03875E+03	 1.47188E+03
 1.04136E+03	 1.47186E+03
 1.04397E+03	 1.47248E+03
 1.04658E+03	 1.47344E+03
 1.04918E+03	 1.47238E+03
 1.05179E+03	 1.47524E+03
 1.05439E+03	 1.47134E+03
 1.05700E+03	 1.47526E+03
 1.05960E+03	 1.47148E+03
 1.06220E+03	 1.46976E+03
 1.06480E+03	 1.47132E+03
 1.06740E+03	 1.47394E+03
 1.07000E+03	 1.47224E+03
 1.07260E+03	 1.47314E+03
 1.07520E+03	 1.47018E+03
 1.07780E+03	 1.47590E+03
 1.08039E+03	 1.47856E+03
 1.08299E+03	 1.47096E+03
 1.08558E+03	 1.47644E+03
 1.08818E+03	 1.47538E+03
 1.09077E+03	 1.47238E+03
 1.09336E+03	 1.47476E+03
 1.09595E+03	 1.47544E+03
 1.09854E+03	 1.47478E+03
 1.10113E+03	 1.46996E+03
 1.10372E+03	 1.47430E+03
 1.10631E+03	 1.47418E+03
 1.10890E+03	 1.47496E+03
 1.11148E+03	 1.47748E+03
 1.11407E+03	 1.47536E+03
 1.11665E+03	 1.47846E+03
 1.11924E+03	 1.47736E+03
 1.12182E+03	 1.47988E+03
 1.12440E+03	 1.47756E+03
 1.12698E+03	 1.47706E+03
 1.12956E+03	 1.47868E+03
 1.13214E+03	 1.47952E+03
 1.13472E+03	 1.47762E+03
 1.13730E+03	 1.47582E+03
 1.13987E+03	 1.47912E+03
 1.14245E+03	 1.47658E+03
 1.14503E+03	 1.48158E+03
 1.14760E+03	 1.47734E+03
 1.15017E+03	 1.48054E+03
 1.15275E+03	 1.47998E+03
 1.15532E+03	 1.47740E+03
 1.15789E+03	 1.47440E+03
 1.16046E+03	 1.48052E+03
 1.16303E+03	 1.47898E+03
 1.16560E+03	 1.47980E+03
 1.16817E+03	 1.47974E+03
 1.17074E+03	 1.48220E+03
 1.17330E+03	 1.47848E+03
 1.17587E+03	 1.48180E+03
 1.17843E+03	 1.48366E+03
 1.18100E+03	 1.47964E+03
 1.18356E+03	 1.48108E+03
 1.18612E+03	 1.48232E+03
 1.18868E+03	 1.48166E+03
 1.19124E+03	 1.48060E+03
 1.19380E+03	 1.48274E+03
 1.19636E+03	 1.48346E+03
 1.19892E+03	 1.48242E+03
 1.20148E+03	 1.48350E+03
 1.20404E+03	 1.48328E+03
 1.20659E+03	 1.48104E+03
 1.20915E+03	 1.48600E+03
 1.21170E+03	 1.48342E+03
 1.21425E+03	 1.48152E+03
 1.21681E+03	 1.48810E+03
 1.21936E+03	 1.48492E+03
 1.22191E+03	 1.48674E+03
 1.22446E+03	 1.48650E+03
 1.22701E+03	 1.48588E+03
 1.22956E+03	 1.48506E+03
 1.23210E+03	 1.48456E+03
 1.23465E+03	 1.48662E+03
 1.23720E+03	 1.48698E+03
 1.23974E+03	 1.48316E+03
 1.24229E+03	 1.48570E+03
 1.24483E+03	 1.48708E+03
 1.24737E+03	 1.48798E+03
 1.24992E+03	 1.48624E+03
 1.25246E+03	 1.48248E+03
 1.25500E+03	 1.48130E+03
 1.25754E+03	 1.48516E+03
 1.26008E+03	 1.48772E+03
 1.26261E+03	 1.48646E+03
 1.26515E+03	 1.48786E+03
 1.26769E+03	 1.48652E+03
 1.27022E+03	 1.48370E+03
 1.27276E+03	 1.48740E+03
 1.27529E+03	 1.48366E+03
 1.27783E+03	 1.48482E+03
 1.28036E+03	 1.48748E+03
 1.28289E+03	 1.48588E+03
 1.28542E+03	 1.49104E+03
 1.28795E+03	 1.48818E+03
 1.29048E+03	 1.48798E+03
 1.29301E+03	 1.48862E+03
 1.29554E+03	 1.48766E+03
 1.29806E+03	 1.48796E+03
 1.30059E+03	 1.48938E+03
 1.30311E+03	 1.48916E+03
 1.30564E+03	 1.48908E+03
 1.30816E+03	 1.48886E+03
 1.31069E+03	 1.49002E+03
 1.31321E+03	 1.49328E+03
 1.31573E+03	 1.48798E+03
 1.31825E+03	 1.49092E+03
 1.32077E+03	 1.49218E+03
 1.32329E+03	 1.49244E+03
 1.32581E+03	 1.49314E+03
 1.32832E+03	 1.49154E+03
 1.33084E+03	 1.49268E+03
 1.33336E+03	 1.49042E+03
 1.33587E+03	 1.49366E+03
 1.33838E+03	 1.49446E+03
 1.34090E+03	 1.49422E+03
 1.34341E+03	 1.49430E+03
 1.34592E+03	 1.49494E+03
 1.34843E+03	 1.49084E+03
 1.35094E+03	 1.49088E+03
 1.35345E+03	 1.49320E+03
 1.35596E+03	 1.49356E+03
 1.35847E+03	 1.49232E+03
 1.36098E+03	 1.49502E+03
 1.36348E+03	 1.49334E+03
 1.36599E+03	 1.49456E+03
 1.36849E+03	 1.49820E+03
 1.37100E+03	 1.49494E+03
 1.37350E+03	 1.49342E+03
 1.37600E+03	 1.49508E+03
 1.37850E+03	 1.49432E+03
 1.38100E+03	 1.49804E+03
 1.38350E+03	 1.49864E+03
 1.38600E+03	 1.49330E+03
 1.38850E+03	 1.49546E+03
 1.39100E+03	 1.49786E+03
 1.39350E+03	 1.50102E+03
 1.39599E+03	 1.49808E+03
 1.39849E+03	 1.49328E+03
 1.40098E+03	 1.49932E+03
 1.40348E+03	 1.49784E+03
 1.40597E+03	 1.49486E+03
 1.40846E+03	 1.49964E+03
 1.41095E+03	 1.49780E+03
 1.41344E+03	 1.49400E+03
 1.41593E+03	 1.49706E+03
 1.41842E+03	 1.49968E+03
 1.42091E+03	 1.49616E+03
 1.42340E+03	 1.49794E+03
 1.42588E+03	 1.50222E+03
 1.42837E+03	 1.50188E+03
 1.43086E+03	 1.50292E+03
 1.43334E+03	 1.50086E+03
 1.43582E+03	 1.49654E+03
 1.43831E+03	 1.49866E+03
 1.44079E+03	 1.50394E+03
