//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1100S--Spectrum--032--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5691.30000002328
PositionY = 10021.5000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1100S--Spectrum--032--Spec.Data 1
 9.25780E+02	 1.41572E+03
 9.28426E+02	 1.41548E+03
 9.31070E+02	 1.41528E+03
 9.33714E+02	 1.41318E+03
 9.36356E+02	 1.41324E+03
 9.38998E+02	 1.41236E+03
 9.41639E+02	 1.41370E+03
 9.44279E+02	 1.40976E+03
 9.46918E+02	 1.41056E+03
 9.49557E+02	 1.41142E+03
 9.52194E+02	 1.41062E+03
 9.54831E+02	 1.40880E+03
 9.57466E+02	 1.40596E+03
 9.60101E+02	 1.40650E+03
 9.62735E+02	 1.40758E+03
 9.65369E+02	 1.40984E+03
 9.68001E+02	 1.40572E+03
 9.70633E+02	 1.40594E+03
 9.73263E+02	 1.40480E+03
 9.75893E+02	 1.40658E+03
 9.78522E+02	 1.40784E+03
 9.81150E+02	 1.40814E+03
 9.83777E+02	 1.40408E+03
 9.86404E+02	 1.40640E+03
 9.89029E+02	 1.40566E+03
 9.91654E+02	 1.40646E+03
 9.94278E+02	 1.40410E+03
 9.96901E+02	 1.40680E+03
 9.99523E+02	 1.40868E+03
 1.00214E+03	 1.40686E+03
 1.00477E+03	 1.40700E+03
 1.00738E+03	 1.40672E+03
 1.01000E+03	 1.40774E+03
 1.01262E+03	 1.40526E+03
 1.01524E+03	 1.40798E+03
 1.01785E+03	 1.40732E+03
 1.02047E+03	 1.40992E+03
 1.02308E+03	 1.40850E+03
 1.02570E+03	 1.40666E+03
 1.02831E+03	 1.40690E+03
 1.03092E+03	 1.40820E+03
 1.03353E+03	 1.40724E+03
 1.03614E+03	 1.40722E+03
 1.03875E+03	 1.40520E+03
 1.04136E+03	 1.40702E+03
 1.04397E+03	 1.40752E+03
 1.04658E+03	 1.41026E+03
 1.04918E+03	 1.40786E+03
 1.05179E+03	 1.40646E+03
 1.05439E+03	 1.40706E+03
 1.05700E+03	 1.40700E+03
 1.05960E+03	 1.40704E+03
 1.06220E+03	 1.40802E+03
 1.06480E+03	 1.40760E+03
 1.06740E+03	 1.40776E+03
 1.07000E+03	 1.40836E+03
 1.07260E+03	 1.40882E+03
 1.07520E+03	 1.40714E+03
 1.07780E+03	 1.40770E+03
 1.08039E+03	 1.40806E+03
 1.08299E+03	 1.40652E+03
 1.08558E+03	 1.40764E+03
 1.08818E+03	 1.40582E+03
 1.09077E+03	 1.40888E+03
 1.09336E+03	 1.40680E+03
 1.09595E+03	 1.40862E+03
 1.09854E+03	 1.40918E+03
 1.10113E+03	 1.40970E+03
 1.10372E+03	 1.40856E+03
 1.10631E+03	 1.40668E+03
 1.10890E+03	 1.40504E+03
 1.11148E+03	 1.40774E+03
 1.11407E+03	 1.40792E+03
 1.11665E+03	 1.41162E+03
 1.11924E+03	 1.40702E+03
 1.12182E+03	 1.40806E+03
 1.12440E+03	 1.40858E+03
 1.12698E+03	 1.40602E+03
 1.12956E+03	 1.41166E+03
 1.13214E+03	 1.40800E+03
 1.13472E+03	 1.40876E+03
 1.13730E+03	 1.40602E+03
 1.13987E+03	 1.40970E+03
 1.14245E+03	 1.40840E+03
 1.14503E+03	 1.40830E+03
 1.14760E+03	 1.41142E+03
 1.15017E+03	 1.40868E+03
 1.15275E+03	 1.40596E+03
 1.15532E+03	 1.40866E+03
 1.15789E+03	 1.40984E+03
 1.16046E+03	 1.41006E+03
 1.16303E+03	 1.40732E+03
 1.16560E+03	 1.40814E+03
 1.16817E+03	 1.41010E+03
 1.17074E+03	 1.40924E+03
 1.17330E+03	 1.40848E+03
 1.17587E+03	 1.40960E+03
 1.17843E+03	 1.40978E+03
 1.18100E+03	 1.41178E+03
 1.18356E+03	 1.40910E+03
 1.18612E+03	 1.40910E+03
 1.18868E+03	 1.40706E+03
 1.19124E+03	 1.40960E+03
 1.19380E+03	 1.40822E+03
 1.19636E+03	 1.41060E+03
 1.19892E+03	 1.40818E+03
 1.20148E+03	 1.40938E+03
 1.20404E+03	 1.40874E+03
 1.20659E+03	 1.40912E+03
 1.20915E+03	 1.40956E+03
 1.21170E+03	 1.40872E+03
 1.21425E+03	 1.41174E+03
 1.21681E+03	 1.40926E+03
 1.21936E+03	 1.40974E+03
 1.22191E+03	 1.40980E+03
 1.22446E+03	 1.40932E+03
 1.22701E+03	 1.40942E+03
 1.22956E+03	 1.40844E+03
 1.23210E+03	 1.40924E+03
 1.23465E+03	 1.40834E+03
 1.23720E+03	 1.40926E+03
 1.23974E+03	 1.40838E+03
 1.24229E+03	 1.40682E+03
 1.24483E+03	 1.41048E+03
 1.24737E+03	 1.40912E+03
 1.24992E+03	 1.40870E+03
 1.25246E+03	 1.40838E+03
 1.25500E+03	 1.40948E+03
 1.25754E+03	 1.40838E+03
 1.26008E+03	 1.40896E+03
 1.26261E+03	 1.40928E+03
 1.26515E+03	 1.40964E+03
 1.26769E+03	 1.40848E+03
 1.27022E+03	 1.40922E+03
