//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Ne 300 2,5dpa anneal.wip
GraphName = REFEL Ne 300 2,5dpa-1100 2mins--Spectrum--034--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5713.80000002328
PositionY = 10044.0000000233
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Ne 300 2,5dpa-1100 2mins--Spectrum--034--Spec.Data 1
 7.05905E+02	 1.44098E+03
 7.08622E+02	 1.44384E+03
 7.11338E+02	 1.44328E+03
 7.14054E+02	 1.44522E+03
 7.16768E+02	 1.44602E+03
 7.19482E+02	 1.44900E+03
 7.22195E+02	 1.45118E+03
 7.24907E+02	 1.45010E+03
 7.27618E+02	 1.45302E+03
 7.30328E+02	 1.45496E+03
 7.33037E+02	 1.45184E+03
 7.35745E+02	 1.45712E+03
 7.38453E+02	 1.46134E+03
 7.41159E+02	 1.46582E+03
 7.43865E+02	 1.46440E+03
 7.46569E+02	 1.46856E+03
 7.49273E+02	 1.47176E+03
 7.51976E+02	 1.47628E+03
 7.54678E+02	 1.47796E+03
 7.57379E+02	 1.48414E+03
 7.60080E+02	 1.48502E+03
 7.62779E+02	 1.48556E+03
 7.65478E+02	 1.48530E+03
 7.68175E+02	 1.49006E+03
 7.70872E+02	 1.47794E+03
 7.73568E+02	 1.47216E+03
 7.76263E+02	 1.47266E+03
 7.78957E+02	 1.46592E+03
 7.81650E+02	 1.45738E+03
 7.84342E+02	 1.45342E+03
 7.87034E+02	 1.45200E+03
 7.89724E+02	 1.44746E+03
 7.92414E+02	 1.44728E+03
 7.95103E+02	 1.44362E+03
 7.97791E+02	 1.44026E+03
 8.00478E+02	 1.43946E+03
 8.03164E+02	 1.44104E+03
 8.05849E+02	 1.44088E+03
 8.08533E+02	 1.44144E+03
 8.11217E+02	 1.43934E+03
 8.13899E+02	 1.44042E+03
 8.16581E+02	 1.44206E+03
 8.19262E+02	 1.43982E+03
 8.21942E+02	 1.44426E+03
 8.24621E+02	 1.44342E+03
 8.27299E+02	 1.44258E+03
 8.29977E+02	 1.44260E+03
 8.32653E+02	 1.44224E+03
 8.35329E+02	 1.44360E+03
 8.38003E+02	 1.44332E+03
 8.40677E+02	 1.44320E+03
 8.43350E+02	 1.44220E+03
 8.46022E+02	 1.43954E+03
 8.48693E+02	 1.44330E+03
 8.51364E+02	 1.44108E+03
 8.54033E+02	 1.44238E+03
 8.56702E+02	 1.44460E+03
 8.59370E+02	 1.44452E+03
 8.62036E+02	 1.44470E+03
 8.64702E+02	 1.44388E+03
 8.67367E+02	 1.44144E+03
 8.70032E+02	 1.44168E+03
 8.72695E+02	 1.44268E+03
 8.75358E+02	 1.44484E+03
 8.78019E+02	 1.44456E+03
 8.80680E+02	 1.44246E+03
 8.83340E+02	 1.44526E+03
 8.85999E+02	 1.44308E+03
 8.88657E+02	 1.44352E+03
 8.91314E+02	 1.44760E+03
 8.93971E+02	 1.44240E+03
 8.96626E+02	 1.44536E+03
 8.99281E+02	 1.44716E+03
 9.01935E+02	 1.44656E+03
 9.04588E+02	 1.44548E+03
 9.07240E+02	 1.44564E+03
 9.09891E+02	 1.44574E+03
 9.12541E+02	 1.44518E+03
 9.15191E+02	 1.44752E+03
 9.17840E+02	 1.44672E+03
 9.20487E+02	 1.44556E+03
 9.23134E+02	 1.44832E+03
 9.25780E+02	 1.44494E+03
 9.28426E+02	 1.44392E+03
 9.31070E+02	 1.44152E+03
 9.33714E+02	 1.43890E+03
 9.36356E+02	 1.43430E+03
 9.38998E+02	 1.43498E+03
 9.41639E+02	 1.43292E+03
 9.44279E+02	 1.43124E+03
 9.46918E+02	 1.43098E+03
 9.49557E+02	 1.42836E+03
 9.52194E+02	 1.42734E+03
 9.54831E+02	 1.42684E+03
 9.57466E+02	 1.42502E+03
 9.60101E+02	 1.42628E+03
 9.62735E+02	 1.42532E+03
 9.65369E+02	 1.42492E+03
 9.68001E+02	 1.42586E+03
 9.70633E+02	 1.42518E+03
 9.73263E+02	 1.42526E+03
 9.75893E+02	 1.42618E+03
 9.78522E+02	 1.42546E+03
 9.81150E+02	 1.42480E+03
 9.83777E+02	 1.42608E+03
 9.86404E+02	 1.42542E+03
 9.89029E+02	 1.42448E+03
 9.91654E+02	 1.42436E+03
 9.94278E+02	 1.42576E+03
 9.96901E+02	 1.42446E+03
 9.99523E+02	 1.42708E+03
 1.00214E+03	 1.42430E+03
 1.00477E+03	 1.42540E+03
 1.00738E+03	 1.42386E+03
 1.01000E+03	 1.42346E+03
 1.01262E+03	 1.42470E+03
 1.01524E+03	 1.42294E+03
 1.01785E+03	 1.42430E+03
 1.02047E+03	 1.42924E+03
 1.02308E+03	 1.42466E+03
 1.02570E+03	 1.42590E+03
 1.02831E+03	 1.42526E+03
 1.03092E+03	 1.42516E+03
 1.03353E+03	 1.42402E+03
 1.03614E+03	 1.42714E+03
 1.03875E+03	 1.42576E+03
 1.04136E+03	 1.42586E+03
 1.04397E+03	 1.42574E+03
 1.04658E+03	 1.42784E+03
 1.04918E+03	 1.42508E+03
 1.05179E+03	 1.42958E+03
 1.05439E+03	 1.42548E+03
 1.05700E+03	 1.42544E+03
 1.05960E+03	 1.42450E+03
 1.06220E+03	 1.42578E+03
 1.06480E+03	 1.42598E+03
 1.06740E+03	 1.42488E+03
 1.07000E+03	 1.42580E+03
 1.07260E+03	 1.42704E+03
 1.07520E+03	 1.42718E+03
 1.07780E+03	 1.42776E+03
 1.08039E+03	 1.42660E+03
 1.08299E+03	 1.42362E+03
 1.08558E+03	 1.42848E+03
 1.08818E+03	 1.42480E+03
 1.09077E+03	 1.42660E+03
 1.09336E+03	 1.42522E+03
 1.09595E+03	 1.42638E+03
 1.09854E+03	 1.42514E+03
 1.10113E+03	 1.42526E+03
 1.10372E+03	 1.42676E+03
 1.10631E+03	 1.42854E+03
 1.10890E+03	 1.42744E+03
 1.11148E+03	 1.42616E+03
 1.11407E+03	 1.42544E+03
 1.11665E+03	 1.42626E+03
 1.11924E+03	 1.42370E+03
 1.12182E+03	 1.42574E+03
 1.12440E+03	 1.42708E+03
 1.12698E+03	 1.42590E+03
 1.12956E+03	 1.42394E+03
 1.13214E+03	 1.42456E+03
 1.13472E+03	 1.42724E+03
 1.13730E+03	 1.42806E+03
 1.13987E+03	 1.42684E+03
 1.14245E+03	 1.42716E+03
 1.14503E+03	 1.42774E+03
 1.14760E+03	 1.42718E+03
 1.15017E+03	 1.42740E+03
 1.15275E+03	 1.42828E+03
 1.15532E+03	 1.42626E+03
 1.15789E+03	 1.42628E+03
 1.16046E+03	 1.42838E+03
 1.16303E+03	 1.42926E+03
 1.16560E+03	 1.42842E+03
 1.16817E+03	 1.42748E+03
 1.17074E+03	 1.42838E+03
 1.17330E+03	 1.42622E+03
 1.17587E+03	 1.42792E+03
 1.17843E+03	 1.43014E+03
 1.18100E+03	 1.42664E+03
 1.18356E+03	 1.42922E+03
 1.18612E+03	 1.43046E+03
 1.18868E+03	 1.42754E+03
