Wavenumber (cm^-1),Intensity (a.u.)
1303.403881,1413.87
1305.912932,1419.9
1308.451847,1417.7
1310.990026,1416.23
1313.496901,1415.27
1316.033616,1420
1318.569594,1416.2
1321.074296,1420.97
1323.608813,1420.6
1326.112071,1424.37
1328.645127,1421.67
1331.177448,1421.7
1333.678538,1420
1336.2094,1423.97
1338.709049,1423.57
1341.238454,1424.63
1343.767125,1423.43
1346.264611,1427.93
1348.791827,1426
1351.287875,1428.23
1353.813636,1428.13
1356.338666,1430.57
1358.832556,1425.93
1361.356133,1430.07
1363.848588,1429.83
1366.370713,1431.67
1368.892109,1431.87
1371.382411,1434.77
1373.902357,1434.67
1376.391227,1431.63
1378.909724,1434.07
1381.397164,1434.23
1383.914215,1433.47
1386.400225,1439.17
1388.91583,1436.43
1391.430708,1433.73
1393.914573,1436.5
1396.428007,1436.6
1398.910446,1436.23
1401.422437,1434.23
1403.903451,1433.3
1406.414001,1436.63
1408.893592,1437.97
1411.402701,1439.3
1413.880869,1440.13
1416.38854,1439.87
1418.895487,1441.23
1421.37152,1435.63
1423.87703,1440.07
1426.351644,1439.67
1428.855718,1439.2
1431.328913,1439.83
1433.831552,1439.33
1436.303331,1440.87
1438.804537,1435.67
1441.2749,1438.8
1443.774674,1439.03
1446.243623,1438
1448.741966,1435.03
1451.209501,1435.77
1453.706414,1438.53
1456.172538,1431.13
1458.668022,1433.03
1461.132735,1435.5
1463.626792,1432.67
1466.090096,1430.53
1468.582727,1430.53
1471.044622,1430.53
1473.535828,1425.77
1475.996316,1427.7
1478.486098,1426.77
1480.945181,1423.9
1483.433541,1426.1
1485.891218,1429.03
1488.378157,1421.3
1490.834431,1423.67
1493.290008,1422.57
1495.774822,1417.83
1498.228997,1420.83
1500.712392,1419
1503.165167,1420.77
1505.647145,1418.27
1508.098521,1420
1510.579084,1415.2
1513.029061,1417.3
1515.508209,1415.33
1517.95679,1414.83
1520.404676,1413.8
1522.881709,1417.03
1525.328201,1411
1527.803822,1412.4
1530.24892,1415.37
1532.723131,1410.57
1535.166836,1412.17
1537.609849,1411.23
1540.081951,1411.27
1542.523574,1411.97
1544.994269,1413.5
1547.434501,1411.03
1549.874044,1411.2
1552.342634,1408.83
