#Wave;#Intensity
1257.554688;3977.888429
1255.867188;3928.455031
1254.179688;3978.682764
1252.492188;3920.843896
1250.802734;3917.535986
1249.115234;3931.568799
1247.425781;3882.195898
1245.736328;3938.321681
1244.046875;3968.183107
1242.357422;3922.793165
1240.667969;3956.604054
1238.976562;3964.671484
1237.285156;3957.400783
1235.59375;3905.62129
1233.902344;3927.044433
1232.210938;3958.345167
1230.517578;3952.069433
1228.824219;3975.93882
1227.130859;3965.214943
1225.4375;3956.471096
1223.744141;3937.853759
1222.050781;3874.314745
1220.355469;3955.928662
1218.660156;3936.335841
1216.964844;3908.362843
1215.269531;3926.279494
1213.574219;4012.74419
1211.876953;3926.09287
1210.179688;3951.388574
1208.482422;3947.592579
1206.785156;3957.595947
1205.087891;3915.863231
1203.390625;3963.79717
1201.691406;3916.663037
1199.992188;3968.022804
1198.292969;3931.736963
1196.59375;3963.876809
1194.892578;3943.844776
1193.193359;3876.10166
1191.492188;3928.889794
1189.791016;3938.873684
1188.089844;3934.103565
1186.388672;3896.89419
1184.685547;3962.900634
1182.982422;3908.995167
1181.28125;3919.462694
1179.576172;3961.356739
1177.873047;3900.611232
1176.169922;3928.745559
1174.464844;3884.228908
1172.759766;3907.937989
1171.054688;3967.450295
1169.349609;3924.42456
1167.644531;3922.118799
1165.9375;3911.479005
1164.230469;3893.980713
1162.525391;3919.616505
1160.816406;3935.931496
1159.109375;3953.709032
1157.402344;3926.420656
1155.693359;3928.523046
1153.984375;3992.308156
1152.275391;3983.62754
1150.566406;3985.226123
1148.855469;3924.201369
1147.146484;3976.681884
1145.435547;3997.352734
1143.724609;4067.396144
1142.013672;4002.494045
1140.302734;4029.009961
1138.589844;4035.481202
1136.876953;4079.564794
1135.164062;4113.372606
1133.451172;4066.10757
1131.738281;4084.769336
1130.025391;4120.50625
1128.310547;4075.708984
1126.595703;4053.861329
1124.880859;4095.92217
1123.166016;4103.827588
1121.449219;4122.455859
1119.734375;4024.082619
1118.017578;4080.246681
1116.300781;4013.595947
1114.583984;4059.507813
1112.867188;4058.154982
1111.148438;4081.150049
1109.429688;4066.647949
1107.712891;4024.894045
1105.992188;4096.544921
1104.273438;4054.315234
1102.554688;4061.719582
1100.833984;4120.185304
1099.113281;4078.949221
1097.392578;4003.701954
1095.671875;4079.152245
1093.951172;4067.591651
1092.228516;4073.52456
1090.505859;4064.397901
1088.783203;4116.461083
1087.060547;4119.951514
1085.337891;4095.772804
1083.613281;4080.339309
1081.888672;4101.786378
1080.164062;4124.679591
1078.439453;4090.334815
1076.714844;4090.430859
1074.990234;4071.135401
1073.263672;4072.688869
1071.537109;4138.68882
1069.810547;4069.979445
1068.083984;4090.905956
1066.355469;4082.283447
1064.628906;4115.785695
1062.900391;3954.685207
1061.171875;4049.177346
1059.443359;4047.343605
1057.712891;4044.059621
1055.984375;4048.030956
1054.253906;4029.274512
1052.523438;4063.703028
1050.792969;4046.400929
1049.0625;4034.904248
1047.330078;4073.173535
1045.599609;4037.525146
1043.867188;4041.490331
1042.134766;4083.112646
1040.400391;4046.518508
1038.667969;4134.45122
1036.933594;4155.761232
1035.199219;4108.561475
1033.464844;4239.829934
1031.730469;4229.278319
1029.996094;4262.600783
1028.259766;4267.47173
1026.523438;4258.847852
1024.787109;4348.027782
1023.050781;4434.279199
1021.314453;4447.776417
1019.576172;4510.376857
1017.839844;4530.590722
1016.101562;4594.108544
1014.363281;4657.599023
1012.623047;4706.630471
1010.884766;4877.802346
1009.144531;4882.046096
1007.404297;5012.723244
1005.664062;5111.141602
1003.923828;5309.469239
1002.181641;5395.769873
1000.441406;5596.83257
998.699219;5685.915431
996.957031;5927.159767
995.214844;6062.695216
993.470703;6336.389063
991.728516;6569.180762
989.984375;6821.540331
988.240234;7117.435255
986.496094;7402.654494
984.75;7681.517676
983.005859;8038.866994
981.259766;8318.911426
979.513672;8629.975977
977.767578;8831.216408
976.019531;9029.496875
974.273438;9213.328222
972.525391;9256.825295
970.777344;9368.739846
969.029297;9188.254688
967.28125;8572.044142
965.53125;7898.705665
963.783203;7150.582033
962.033203;6426.205079
960.283203;5861.302346
958.533203;5524.582179
956.78125;5306.969336
955.029297;5055.057861
953.279297;4876.798486
951.527344;4743.018165
949.773438;4696.172852
948.021484;4614.030859
946.267578;4525.243996
944.515625;4454.145801
942.761719;4369.723341
941.005859;4340.173292
939.251953;4240.555907
937.496094;4204.849415
935.742188;4161.533495
933.986328;4117.759912
932.230469;4141.166505
930.472656;4147.894776
928.716797;4022.25879
926.958984;3984.739745
925.201172;3927.724269
923.443359;3937.822315
921.685547;3864.666845
919.925781;3884.761426
918.166016;3862.527197
916.408203;3836.974463
914.646484;3804.303125
912.886719;3830.094776
911.126953;3824.994142
909.365234;3814.19507
907.603516;3754.962012
905.841797;3787.863037
904.080078;3762.36294
902.316406;3762.976123
900.554688;3774.0271
898.791016;3772.739208
897.027344;3762.914943
895.263672;3773.958059
893.498047;3792.581545
891.734375;3792.711769
889.96875;3844.49331
888.203125;3876.354248
886.4375;3800.679393
884.669922;3836.324023
882.904297;3781.522021
881.136719;3765.558741
879.369141;3757.174463
877.601562;3737.910792
875.832031;3733.319776
874.064453;3726.36592
872.294922;3684.897069
870.525391;3705.375146
868.755859;3763.183253
866.984375;3631.949318
865.214844;3672.267676
863.443359;3680.449269
861.671875;3716.016651
859.900391;3726.072998
858.128906;3760.670704
856.355469;3715.497121
854.582031;3709.032716
852.810547;3661.059133
851.035156;3693.753371
849.261719;3706.157861
847.488281;3699.699952
845.712891;3669.678908
843.9375;3705.169384
842.162109;3715.204199
840.386719;3740.306787
838.609375;3670.745656
836.832031;3691.138283
835.056641;3669.629345
833.279297;3694.718944
831.5;3721.20923
829.722656;3660.193019
827.943359;3774.154591
826.164062;3757.351514
824.384766;3732.56372
822.605469;3780.635744
820.824219;3771.359718
819.044922;3814.234375
817.263672;3764.561035
815.482422;3804.600489
813.701172;3884.528662
811.917969;3904.34092
810.136719;4037.710744
808.353516;4043.405079
806.570312;4169.181202
804.785156;4438.878759
803.001953;4945.242285
801.216797;6253.460255
799.433594;9137.728908
797.646484;13884.25938
795.861328;17485.1961
794.076172;16906.71856
792.289062;14645.06914
790.501953;15207.44121
788.714844;20092.61269
786.927734;29140.54063
785.140625;38910.19727
783.351562;38908.31056
781.5625;25895.21485
779.773438;12886.82363
777.984375;7952.365722
776.195312;6732.247267
774.404297;7196.63916
772.613281;9640.620119
770.822266;14376.29375
769.03125;18726.54629
767.240234;17183.28555
765.447266;11238.80147
